job_role,salary_usd,salary_percentile,skill_demand_score,hiring_difficulty_score
Data Scientist,69484,15,11,42.94448578366384
Research Scientist,147601,100,63,57.03860617053519
NLP Engineer,109901,52,50,43.19153021328741
Software Engineer AI,53440,50,73,55.32405586893882
NLP Engineer,122450,57,69,31.26109598566439
Data Scientist,114867,95,18,22.198598172867392
Software Engineer AI,151109,9,4,66.11244972046332
Computer Vision Engineer,166469,22,23,57.07955265174385
Research Scientist,91897,96,65,59.48401310415908
Computer Vision Engineer,98370,8,89,28.98699928951501
Data Scientist,87618,6,23,38.82442500933337
Research Scientist,172431,77,4,50.640331525925085
Research Scientist,172986,26,87,25.22604815221913
Software Engineer AI,151257,91,47,50.37455902796556
Research Scientist,227530,66,29,20.726912692296047
Software Engineer AI,185032,28,41,54.49263874024617
Research Scientist,82002,76,14,33.70432796862889
Research Scientist,100704,17,80,37.10301424798648
Research Scientist,101582,82,12,57.590263067941
AI Engineer,79396,65,79,54.95180773979405
Data Analyst,48756,84,63,9.784556155532115
Software Engineer AI,80700,90,21,87.94018445849727
Machine Learning Engineer,44284,55,74,13.640471708661424
Data Scientist,106333,56,63,73.38029100753275
Computer Vision Engineer,78803,87,41,40.164034286780975
Data Scientist,83927,90,53,71.54214445735892
Data Scientist,58362,47,9,47.47593557988774
Computer Vision Engineer,164203,77,49,65.28519478902031
Software Engineer AI,132039,83,63,46.12874995191894
Computer Vision Engineer,119136,36,19,58.20122560426236
Data Analyst,41023,35,72,61.40169160704667
Data Scientist,144379,72,57,72.26167365064055
Machine Learning Engineer,133508,43,62,50.187482974078634
NLP Engineer,117736,66,91,57.58196789896814
Software Engineer AI,57578,70,52,49.618948582382046
Computer Vision Engineer,54305,68,10,80.32603800126356
Software Engineer AI,100571,99,11,69.80217008513402
NLP Engineer,38987,64,94,39.53376996499638
Research Scientist,187181,98,11,41.07213997516203
Computer Vision Engineer,154023,92,20,21.667024939820507
Data Scientist,125061,49,65,39.16843441317138
Software Engineer AI,58791,60,100,61.7807248325978
Data Analyst,124894,7,72,48.64160613950317
AI Engineer,34916,46,96,41.7132667593712
Data Scientist,100805,12,10,43.31495312969917
NLP Engineer,196592,67,76,77.89455912458514
Research Scientist,49934,81,62,67.96576459767942
Computer Vision Engineer,72514,9,82,38.44651697401294
Machine Learning Engineer,98742,89,82,75.274000810693
Data Analyst,28752,97,21,25.798405068920264
NLP Engineer,65910,49,11,60.37791062003994
AI Engineer,66000,11,36,80.01422145805128
Computer Vision Engineer,151769,23,73,27.258514537492076
Data Scientist,83051,24,35,45.419328238600485
Data Scientist,80955,83,59,63.68445290914365
Research Scientist,91978,9,89,30.342449740393693
AI Engineer,191144,100,54,0.0
Research Scientist,126402,31,98,36.168670060336936
Computer Vision Engineer,66604,4,75,69.23475698686099
Data Analyst,116622,65,74,61.074355908849654
Machine Learning Engineer,144133,36,10,53.27039499634446
Software Engineer AI,67996,7,22,75.49399925082574
Research Scientist,104941,31,40,48.80678194242014
Data Analyst,49313,76,49,62.543842343074
Data Scientist,61284,61,73,65.28879524671925
NLP Engineer,141984,53,9,46.22411105173545
AI Engineer,83773,45,42,55.688531490588886
Data Scientist,93177,15,39,53.44892495127671
Computer Vision Engineer,97242,37,73,61.90292234633846
AI Engineer,98474,35,38,49.8317649390807
Machine Learning Engineer,118237,42,70,62.355204066361395
Data Analyst,64693,38,21,34.4220974244633
NLP Engineer,187588,72,92,24.556499280487735
Data Scientist,66725,64,40,19.929619695411276
Research Scientist,176671,18,23,37.9328139281031
Research Scientist,104997,74,18,49.566707614704754
Machine Learning Engineer,159056,16,61,63.65798847293583
Data Scientist,111462,70,40,98.10480357449552
AI Engineer,135948,3,21,75.0299545418496
Data Scientist,172130,87,19,70.4649199491772
Data Scientist,114229,49,21,62.48152652573722
Computer Vision Engineer,122079,88,40,76.40923569122512
NLP Engineer,134202,6,63,88.58346713826197
AI Engineer,103018,75,4,71.29738577051866
NLP Engineer,34565,68,78,66.83916985986457
Data Scientist,96954,58,63,52.057665650515354
Data Scientist,174132,59,64,76.15164192987962
Data Analyst,28000,11,16,100.0
Computer Vision Engineer,156480,79,4,27.009055068461763
Research Scientist,76885,38,10,86.15767099310756
NLP Engineer,106747,95,14,30.125823136262113
AI Engineer,56181,78,28,15.023511501669496
AI Engineer,84300,30,53,75.37944905702797
Data Analyst,90911,18,50,39.07246178060696
Research Scientist,177596,84,93,32.40779917102059
Data Scientist,132901,44,98,63.8299296523308
NLP Engineer,79487,64,45,59.64762048338235
Data Scientist,73324,17,59,50.263309849173474
Data Analyst,37226,2,47,64.42804122125385
AI Engineer,100187,56,25,46.80194674532133
Machine Learning Engineer,121190,54,6,59.76366611125539
Data Scientist,59063,41,65,48.34585398136508
Research Scientist,61763,38,79,43.007197727899594
Data Analyst,66069,65,51,66.41223236125471
Data Scientist,101472,19,39,73.34951357000014
Data Analyst,75296,79,79,57.5425984245711
Research Scientist,114776,45,44,21.307397717942365
Computer Vision Engineer,91447,25,25,46.10491485123715
Data Analyst,84574,2,74,55.05763392702088
Research Scientist,91611,24,25,59.11401428579552
Data Scientist,160556,93,24,41.43669353769424
Software Engineer AI,50988,93,50,62.74400727090553
Data Analyst,121428,17,4,57.014770927119294
Computer Vision Engineer,58749,18,60,18.34957172659239
Data Scientist,113459,24,11,46.47848020859465
Data Analyst,107983,95,55,34.42682854442947
Software Engineer AI,114071,4,71,64.86101850651384
Computer Vision Engineer,153060,82,83,68.27009502397689
AI Engineer,64354,44,70,38.888170371903826
Software Engineer AI,59782,98,51,39.73401349086755
Data Scientist,68648,100,39,41.20671887755542
Research Scientist,115236,11,49,80.39841455730223
Data Scientist,104862,69,17,58.36952776936464
NLP Engineer,62981,53,4,49.86706731915987
Computer Vision Engineer,171303,42,84,73.8205385276094
Data Analyst,51552,35,34,28.45375202719189
Machine Learning Engineer,89885,22,59,62.70958961038119
NLP Engineer,143818,46,74,55.512036984039696
Computer Vision Engineer,134400,47,95,51.52934068015618
AI Engineer,98070,73,9,40.48227983296971
Data Scientist,103058,77,26,75.1845099924315
Computer Vision Engineer,125030,83,31,63.44512143441213
Research Scientist,57134,52,12,66.61259644323906
Data Analyst,103466,56,88,28.43000440906244
NLP Engineer,43265,52,40,50.62621067199815
Software Engineer AI,101918,33,65,77.29843829857442
Computer Vision Engineer,146534,25,95,29.832339081572435
AI Engineer,116678,52,85,60.96541679277688
Software Engineer AI,64859,14,38,34.60696379100264
Computer Vision Engineer,76890,14,16,69.62561674290865
Software Engineer AI,55451,63,77,52.71341246658861
Computer Vision Engineer,54693,52,74,67.6020336914621
Data Scientist,63176,80,73,43.836736856454806
AI Engineer,91276,90,34,68.12752734592956
Software Engineer AI,80342,51,82,42.25238410864417
Machine Learning Engineer,98041,45,61,48.24060241184904
NLP Engineer,61663,2,76,80.80329376997095
Software Engineer AI,52828,93,38,84.93445875581767
Machine Learning Engineer,82704,57,41,30.832256273349778
Software Engineer AI,51498,38,92,44.90529474011101
Software Engineer AI,98779,26,81,62.27457324174443
NLP Engineer,73581,46,79,50.850788810534304
Computer Vision Engineer,61012,76,69,53.66496679514548
Data Scientist,58846,42,21,16.12838250521206
Computer Vision Engineer,76535,41,80,55.33212613670763
Computer Vision Engineer,61521,77,96,75.81239426805541
Machine Learning Engineer,158216,85,30,60.79977929342661
AI Engineer,68542,2,85,26.453626737189825
Research Scientist,61170,94,87,58.00555041910723
Software Engineer AI,103860,96,28,47.97171298235632
AI Engineer,57595,22,45,11.572718094284788
Research Scientist,107459,95,4,45.71510703342017
Computer Vision Engineer,156568,98,22,50.29108471844833
Computer Vision Engineer,168022,89,87,35.47171081519578
Software Engineer AI,126562,62,83,46.11049784533382
NLP Engineer,162807,38,91,86.07844393311886
Software Engineer AI,28000,34,28,49.69316422822298
AI Engineer,95202,61,34,53.24040348951222
Machine Learning Engineer,65503,46,43,75.87876599612484
Data Analyst,48252,61,41,47.61350482280687
Machine Learning Engineer,72064,6,66,64.64948656851264
Research Scientist,138044,22,83,51.32485917715021
Software Engineer AI,117875,36,82,85.50471312350035
Software Engineer AI,55841,95,85,88.77136885805706
AI Engineer,147787,5,20,41.97938525028479
NLP Engineer,149815,60,35,41.70023051851835
Data Scientist,57404,69,47,83.49673333850268
NLP Engineer,139423,39,8,30.727339915283025
Data Analyst,81886,23,58,37.41261721796794
Computer Vision Engineer,139178,82,70,57.12896192338864
Machine Learning Engineer,137790,70,49,30.86120551457315
NLP Engineer,145696,25,58,51.243212201622015
Software Engineer AI,62143,81,34,73.69168259966031
Data Analyst,28000,97,4,57.74169038351306
Computer Vision Engineer,158036,65,72,32.0990146695564
Data Analyst,54213,75,8,69.33605064127333
Data Scientist,195126,65,37,52.763995074806914
AI Engineer,181722,58,66,41.2127849124299
AI Engineer,62181,68,83,57.14086128620497
Data Analyst,28000,14,53,53.99260708059964
Machine Learning Engineer,62382,37,65,54.36215418996673
NLP Engineer,96838,65,10,36.9168716436657
Software Engineer AI,105219,28,24,64.35145591910302
AI Engineer,57819,71,20,49.317267636359375
Machine Learning Engineer,114884,94,61,19.35304927149276
Research Scientist,157836,79,11,56.37058326898119
NLP Engineer,173818,94,47,10.390082629366468
Data Scientist,127603,3,21,57.02029274362484
Data Analyst,93558,25,67,43.24802279988124
AI Engineer,74862,74,2,29.55970169220256
Data Analyst,81796,53,61,41.189884985888995
AI Engineer,94878,69,78,72.96860037814045
Data Analyst,75341,47,97,81.56398323124264
Data Analyst,77946,96,10,68.75005974433512
Software Engineer AI,57746,65,100,27.206900219011953
Research Scientist,85490,52,6,40.96648954391761
Data Analyst,34541,63,89,38.27842000010419
NLP Engineer,65810,22,71,28.71787756293813
Machine Learning Engineer,28000,70,49,49.45355191925968
Computer Vision Engineer,204992,55,44,53.721635912837115
AI Engineer,116171,60,67,63.45038272996607
AI Engineer,208560,1,5,62.57980432954864
Machine Learning Engineer,30798,37,43,69.38803782955361
Computer Vision Engineer,159417,93,7,42.541644430740774
Computer Vision Engineer,46442,92,28,56.75526127522011
NLP Engineer,46790,56,23,62.08237177054723
Data Analyst,62684,100,2,67.45495283528457
Software Engineer AI,138440,22,16,64.04027394764682
AI Engineer,58533,84,50,52.4918598601132
Data Analyst,46396,63,57,66.09286537368767
Software Engineer AI,201265,86,80,62.9985814935732
Computer Vision Engineer,150842,35,54,85.76547639773756
NLP Engineer,60020,2,83,35.47097263467882
Data Scientist,110483,22,58,36.12437849233811
AI Engineer,120402,89,93,70.60100785593461
AI Engineer,166182,77,53,27.66647230781058
Machine Learning Engineer,28000,74,37,80.577506803414
NLP Engineer,60166,15,63,55.92016643114321
Data Scientist,154995,74,36,77.28767298817338
Data Scientist,111516,91,63,69.50998656402403
NLP Engineer,73751,59,37,66.99591863249839
AI Engineer,126027,57,88,53.55172567871344
Data Scientist,123549,60,8,79.84780629026177
Data Analyst,50529,2,46,37.138160277722314
NLP Engineer,134966,33,5,12.858543815743737
Research Scientist,133270,100,58,66.40838628989067
AI Engineer,62457,89,29,24.113712215617184
Data Analyst,87001,80,76,51.20639998724999
Data Scientist,82115,88,6,90.65952760077808
NLP Engineer,153471,6,26,48.072799354867165
Software Engineer AI,188429,63,35,61.887543062415894
Computer Vision Engineer,41749,38,69,64.43374356470035
Research Scientist,85222,62,60,33.745940395482464
Software Engineer AI,158027,45,85,78.21191122082368
Computer Vision Engineer,37927,66,44,83.78418373794659
Data Scientist,177603,94,81,74.07386330843352
Machine Learning Engineer,166768,31,57,55.32799169507287
Data Analyst,110115,50,59,69.05769269731638
Computer Vision Engineer,29843,77,31,23.71102389839239
NLP Engineer,158752,8,24,56.9812943988384
Software Engineer AI,64582,32,75,40.496895507552395
NLP Engineer,174336,76,82,43.8819550652093
AI Engineer,57824,95,43,60.61455148694779
Data Analyst,48512,55,33,50.99198065471336
Research Scientist,84337,100,32,63.4522773575315
AI Engineer,44878,3,42,66.52821822188847
NLP Engineer,149830,56,76,54.064827560392565
Software Engineer AI,55742,61,29,16.7537573545456
Data Analyst,40987,61,1,68.89443117338232
Computer Vision Engineer,138295,95,49,35.50747602186371
AI Engineer,53834,23,73,50.47476514273164
Software Engineer AI,90620,19,8,68.49972097056495
Research Scientist,78150,41,57,63.13437567637705
NLP Engineer,129113,99,51,88.08724192802163
Data Analyst,82437,90,36,55.37111090354837
AI Engineer,76503,84,49,58.555648396900835
NLP Engineer,203606,3,62,38.619985798848006
Data Scientist,65035,54,74,44.67883246547146
AI Engineer,62681,17,67,100.0
NLP Engineer,80402,11,6,38.06795576450136
Software Engineer AI,145676,14,9,52.385171467854306
AI Engineer,88964,81,70,55.52334052298407
Research Scientist,84981,34,92,32.84012692192563
NLP Engineer,185497,5,60,48.440357311612395
Data Scientist,51397,87,16,36.136409956824416
Machine Learning Engineer,155097,54,49,46.37749741532773
Data Scientist,94129,55,36,52.30670337911434
Computer Vision Engineer,70358,14,48,48.61061479878235
NLP Engineer,59389,46,43,69.65338223093019
Research Scientist,118477,52,38,73.77604202969638
AI Engineer,72298,44,99,39.28777337871753
AI Engineer,117052,66,7,74.63470789810265
Data Scientist,90092,47,15,51.21005861702098
Computer Vision Engineer,49765,17,5,29.182961350633153
Data Scientist,145632,17,99,63.117039702522774
Research Scientist,175486,93,50,50.28743019688352
Data Analyst,117836,3,21,63.14505002629248
Computer Vision Engineer,144104,14,78,30.160177858043724
Software Engineer AI,143146,56,32,65.91503529383365
AI Engineer,77937,84,95,38.79546738237606
AI Engineer,72159,62,62,60.67043410984062
Computer Vision Engineer,93589,6,86,44.744343125371984
Machine Learning Engineer,32294,76,49,44.1740173146649
AI Engineer,31231,66,51,64.50408044699356
Computer Vision Engineer,114248,14,64,32.012611897410174
Computer Vision Engineer,80046,31,41,35.66020511562939
AI Engineer,92527,66,69,60.73058872786365
Software Engineer AI,121366,92,36,48.65759979644604
Software Engineer AI,28067,10,69,98.62213907386092
Machine Learning Engineer,90327,41,3,58.627676627520614
Research Scientist,135915,63,49,63.41121069123999
Software Engineer AI,79292,64,55,74.5330018652823
Data Analyst,28834,100,52,44.93221486308316
Machine Learning Engineer,50352,28,70,73.55508412859666
NLP Engineer,197630,100,42,54.32706927939948
Machine Learning Engineer,80218,51,34,26.28115012023296
AI Engineer,163590,44,29,54.5432571526767
Data Analyst,28000,54,11,54.50318980640482
Data Analyst,49986,22,94,67.44635934410712
Data Scientist,184440,19,15,36.8335117025878
Research Scientist,144666,38,73,41.106827318461505
Computer Vision Engineer,173747,79,77,48.39868448423952
Software Engineer AI,52264,68,35,42.31066166936341
Data Scientist,123752,23,61,35.9452166415065
Software Engineer AI,134165,89,4,54.48204950122342
NLP Engineer,130783,15,97,45.28970295180176
Data Analyst,87711,25,17,92.1667270659164
Machine Learning Engineer,110893,52,66,33.29380322700425
AI Engineer,72466,17,43,18.686948056359647
Data Analyst,93229,46,39,62.02557430377268
Data Scientist,126848,92,26,52.677491104763874
NLP Engineer,164721,54,34,73.5623777012091
Data Analyst,105246,93,53,46.43203956380555
Data Scientist,83075,14,78,82.6184268042499
NLP Engineer,82091,38,70,48.15368462534313
Computer Vision Engineer,86440,1,37,68.77177684044334
Research Scientist,79755,81,23,48.13882244936678
Machine Learning Engineer,111679,77,30,41.61450525656291
AI Engineer,106792,57,11,44.32322539721562
Research Scientist,93757,3,39,47.12818862320316
Software Engineer AI,74877,11,82,68.92260976705522
Software Engineer AI,57733,80,93,58.018673115228765
Data Analyst,40126,2,54,61.506937467109786
Software Engineer AI,139018,26,21,60.26433091901138
Research Scientist,58930,97,2,18.128089159928024
Software Engineer AI,102507,59,37,66.15443224619521
Data Analyst,55403,74,55,20.1590035258981
Software Engineer AI,113501,35,34,81.08105164866633
AI Engineer,71712,40,99,60.325570285516854
Computer Vision Engineer,167155,76,91,49.272694548447056
NLP Engineer,173837,81,36,70.65505369578489
Machine Learning Engineer,68818,55,15,39.67330757555487
Data Analyst,65826,83,83,38.97914459518173
Software Engineer AI,94266,69,7,39.2038945759782
Computer Vision Engineer,90566,1,11,72.11329152360358
NLP Engineer,77547,29,85,20.40696922302188
Software Engineer AI,92456,55,38,48.93281978006962
Computer Vision Engineer,188991,5,93,84.53003235816105
Research Scientist,164968,90,89,26.707197052019698
Data Analyst,57518,96,16,43.84134238530238
Research Scientist,68267,75,87,79.53225694543193
Machine Learning Engineer,75050,30,16,30.216104704444753
AI Engineer,193733,64,36,57.2103326124867
Computer Vision Engineer,88152,2,81,30.730466201459375
NLP Engineer,43022,3,66,64.61566989767228
Research Scientist,64964,39,42,50.115348114988215
AI Engineer,66112,7,83,54.44535849211812
Research Scientist,68947,58,62,70.77905681737815
Software Engineer AI,79633,34,5,47.7980463445833
Data Scientist,78153,72,41,48.917929949785254
Data Scientist,114789,52,19,68.37727518504185
AI Engineer,81391,69,11,60.63768322009126
Research Scientist,132750,38,19,43.443231246423615
Computer Vision Engineer,164572,27,26,55.267300731028016
Software Engineer AI,29985,32,67,48.45999258373578
Data Analyst,60550,23,79,24.24932276477766
Machine Learning Engineer,169056,26,35,37.00132700489424
AI Engineer,58759,28,85,51.319216080222965
Research Scientist,91103,58,41,36.22665311928074
Computer Vision Engineer,97089,49,9,33.78369504471134
Machine Learning Engineer,90717,89,6,46.93257655497507
Computer Vision Engineer,104505,8,50,53.74364890153811
Research Scientist,60719,25,43,76.19088555572196
Research Scientist,79412,37,88,79.47163489040639
Research Scientist,63244,91,32,39.69601433772914
Machine Learning Engineer,178038,92,66,48.791003067430395
AI Engineer,119222,48,91,54.744665685903975
Machine Learning Engineer,110347,54,28,52.55155287870622
AI Engineer,86168,29,66,64.32760640495249
Research Scientist,142410,9,76,39.48370529737758
Computer Vision Engineer,73911,31,71,27.647622807823172
Data Analyst,86173,16,51,72.01982709781237
AI Engineer,155791,22,96,46.01201267724484
Data Analyst,82820,70,68,61.48515829571028
Machine Learning Engineer,78975,63,34,76.34983550207515
AI Engineer,117351,5,85,32.88536513775952
Software Engineer AI,70459,77,48,75.14044069356225
Data Analyst,50738,48,37,57.18014043779965
Software Engineer AI,161366,82,75,21.017093613081897
Machine Learning Engineer,71780,16,70,30.76310038516636
Software Engineer AI,111545,10,33,27.66830713889128
AI Engineer,173954,97,62,72.40661685532197
Research Scientist,136626,58,24,63.41671425881083
Data Analyst,124509,59,68,49.29965014551433
Computer Vision Engineer,61574,7,85,69.37743180841312
Machine Learning Engineer,225090,10,100,42.53965665281838
Software Engineer AI,67752,57,53,47.858828745716345
AI Engineer,150562,10,41,43.16563398576945
Research Scientist,119944,38,43,70.3970947355205
Data Scientist,104384,22,84,18.424686228053854
Computer Vision Engineer,95474,51,77,77.92233042579672
Data Analyst,28000,41,60,76.03668232453273
AI Engineer,193861,2,84,64.45282572669987
Machine Learning Engineer,107382,59,51,42.296253788208624
Data Scientist,87117,52,53,42.501951885721
Data Scientist,128732,16,45,42.2330025228303
AI Engineer,53677,96,34,66.52308022047717
Data Scientist,113844,73,36,41.7418189943249
Data Scientist,94286,87,27,35.461760751275435
AI Engineer,36394,68,26,58.46085868769429
Software Engineer AI,164268,40,79,38.88232804310787
Computer Vision Engineer,34840,97,37,47.38475043248594
NLP Engineer,75110,83,23,75.5503489835859
Data Analyst,44773,60,88,24.386082809646325
Software Engineer AI,58614,28,45,62.36677584522454
AI Engineer,87644,32,10,35.20148231391239
AI Engineer,106254,69,93,56.07723021750755
Software Engineer AI,178751,26,89,22.735448207354032
Data Scientist,80842,90,17,48.37838957276724
AI Engineer,37044,29,15,52.08641336947679
NLP Engineer,31730,49,47,70.80981629484617
Software Engineer AI,116280,91,74,68.17209422010944
Computer Vision Engineer,132383,81,43,54.902825500334515
AI Engineer,124484,33,95,63.286503376598645
Computer Vision Engineer,96301,90,53,52.88771036097684
Data Analyst,49781,68,27,43.7896196916353
Software Engineer AI,35949,56,66,56.32665122233611
Software Engineer AI,84000,95,49,57.11608865668743
NLP Engineer,102142,92,43,69.12954361187371
AI Engineer,108195,98,22,9.915721055613858
Data Analyst,43594,50,37,58.56795756791921
Computer Vision Engineer,36416,4,11,66.40852083330493
Data Scientist,95972,32,64,55.79112465050595
Software Engineer AI,64492,78,8,28.70610156155036
Machine Learning Engineer,81611,23,32,67.08713798747551
AI Engineer,91021,74,21,44.12930032397968
Data Analyst,104756,21,21,82.04215191855488
Data Scientist,93073,24,25,43.56780440328343
Data Scientist,115336,27,83,51.94260012456459
Research Scientist,69106,98,32,35.39641304044643
AI Engineer,156291,41,7,57.5114163876693
Machine Learning Engineer,62896,90,84,64.86206687968242
Software Engineer AI,65944,68,86,51.131773530534005
Data Analyst,120824,33,9,49.44994292421267
Computer Vision Engineer,70017,32,73,16.531424911046024
Data Scientist,146895,49,93,53.412503123825914
Machine Learning Engineer,69957,41,40,60.426114875695134
Data Scientist,102492,44,36,42.86057164774372
Research Scientist,131069,47,24,38.15668332864142
NLP Engineer,59316,26,1,40.37120522309653
Data Scientist,139541,15,41,53.557507456255586
Computer Vision Engineer,140531,57,94,54.04554110679162
Data Scientist,59001,87,66,73.95834051151529
Data Analyst,57245,13,86,40.91974036170989
Data Scientist,101019,39,40,68.25405556863255
Machine Learning Engineer,84780,41,5,61.5442341858963
Data Scientist,51519,19,93,69.27307133684104
Data Analyst,49544,40,54,36.11939917542638
AI Engineer,63312,25,58,64.30771698656622
Machine Learning Engineer,112925,24,27,43.24578915092666
Machine Learning Engineer,62355,19,16,32.102014359327036
Data Scientist,66700,61,49,48.77183741943356
AI Engineer,177524,70,60,41.95198499974554
Computer Vision Engineer,120286,77,44,48.122688034795985
Data Scientist,85607,37,1,67.82962811164231
NLP Engineer,66973,100,39,65.84041249310675
AI Engineer,114719,8,16,57.07186092601071
Data Scientist,64308,54,40,53.70807879585656
Machine Learning Engineer,134071,34,66,35.49133031333045
Computer Vision Engineer,211103,12,16,61.922486582295946
Software Engineer AI,95435,97,43,72.3252721344315
Software Engineer AI,41943,93,77,67.98853687903289
Computer Vision Engineer,77201,2,91,75.65516930509058
Data Analyst,117276,90,56,85.71336947334908
Computer Vision Engineer,73066,63,56,33.479499534652916
Research Scientist,63167,14,24,82.34423046977716
Data Analyst,52634,54,20,72.44469308015758
Data Analyst,39423,26,42,69.27045500028736
Data Scientist,64843,74,52,40.21157572744917
Data Analyst,35436,49,71,55.71558744590503
Software Engineer AI,141382,53,20,34.81483969783968
NLP Engineer,60070,76,90,70.06149110213252
Data Scientist,32718,60,31,32.87003265133801
Data Scientist,95459,64,76,55.73934333477153
Data Scientist,103446,28,73,41.7076753080173
Machine Learning Engineer,73738,53,22,63.63559403579388
AI Engineer,106392,61,85,56.68983334235236
Data Analyst,48154,69,88,52.7474402554293
Computer Vision Engineer,173226,68,52,81.93858281535898
Software Engineer AI,166620,51,96,57.6097410069167
Machine Learning Engineer,167573,52,90,64.23585269888879
Software Engineer AI,28000,16,72,49.402810429298285
Machine Learning Engineer,132729,100,53,64.44509011719927
Computer Vision Engineer,69473,81,52,33.74780290348968
Machine Learning Engineer,33131,98,46,60.27014404225514
NLP Engineer,98957,57,9,59.67252047708365
NLP Engineer,99357,85,91,49.92526203638096
Research Scientist,93599,5,18,62.323057380580394
Software Engineer AI,76585,96,94,72.69594980734063
NLP Engineer,103265,9,85,42.68661337416927
Data Analyst,61093,54,1,85.31293295530972
Computer Vision Engineer,69097,27,3,99.65328513837224
NLP Engineer,92836,23,83,57.88543232973414
Software Engineer AI,76783,33,49,37.40004251733532
NLP Engineer,131301,3,62,62.1167598083869
Data Scientist,106598,47,13,32.995145146743994
Research Scientist,210988,59,22,37.26309412195305
AI Engineer,92918,91,27,73.87228303965418
AI Engineer,134630,10,26,77.54137910173964
AI Engineer,114438,28,64,41.6144090846522
Research Scientist,32722,97,97,60.99278396102206
Software Engineer AI,98012,21,68,72.07151825185882
Computer Vision Engineer,146688,3,78,46.13624920871955
AI Engineer,120256,49,92,77.78634531341169
AI Engineer,129810,41,14,67.47900807889998
Research Scientist,66056,25,59,60.77769804055492
Computer Vision Engineer,80511,72,4,69.34029403077183
Data Scientist,103668,66,7,78.12392725929189
NLP Engineer,91272,68,5,39.58245789111531
AI Engineer,58592,16,41,86.13476470054948
Data Analyst,36185,43,70,44.2141356728856
Software Engineer AI,75296,56,60,75.01953177265169
NLP Engineer,84880,24,45,56.835565283568975
Data Scientist,113476,92,29,67.38104535352207
Computer Vision Engineer,63809,15,90,88.12038170660237
Data Analyst,95542,20,55,29.48947851356147
Data Scientist,115184,51,96,57.14453975480087
Machine Learning Engineer,124187,97,39,76.06447588569047
NLP Engineer,133903,12,82,33.3676084953771
Software Engineer AI,73543,11,22,47.19895761372775
Software Engineer AI,123417,29,33,75.89218534774282
Software Engineer AI,185536,31,41,68.53841791535999
AI Engineer,33200,68,37,67.4535099918906
Software Engineer AI,70728,26,60,46.59923044771225
AI Engineer,82718,6,83,72.70221011825319
Software Engineer AI,60431,19,17,74.77026281682444
Research Scientist,105664,31,86,46.037202364970334
Software Engineer AI,70028,33,14,64.99657465850306
NLP Engineer,37579,21,25,49.42367669201362
Data Analyst,68513,53,25,76.20386636858439
Data Scientist,101322,79,21,27.475697449017293
Machine Learning Engineer,95763,56,80,17.957381257740103
Data Analyst,72803,7,3,39.60197353582884
Software Engineer AI,133944,63,39,88.72836858654738
Machine Learning Engineer,28000,5,45,41.90815485084181
AI Engineer,66678,54,28,26.79570712024229
Research Scientist,73762,47,16,64.03467919560295
Machine Learning Engineer,183290,31,89,32.90190553466713
Software Engineer AI,128543,65,2,32.66046391970979
Machine Learning Engineer,213829,29,99,62.15200939053366
NLP Engineer,145162,46,85,43.649194523099105
Data Analyst,97714,41,19,51.1165595002156
Machine Learning Engineer,65159,61,51,2.6016883675937237
Machine Learning Engineer,168230,30,72,19.219930962437655
Machine Learning Engineer,150279,80,96,41.70556299223197
Data Scientist,82891,42,75,60.009953154518705
Research Scientist,99197,66,15,43.86325260493128
NLP Engineer,96634,1,51,76.84132874677329
Data Analyst,104787,55,43,39.24923231158278
Machine Learning Engineer,61316,55,68,66.83451040681142
AI Engineer,105073,77,72,58.0997726193319
Computer Vision Engineer,102928,28,71,63.63935376265366
Computer Vision Engineer,33334,64,74,21.45703771875943
NLP Engineer,181648,64,80,75.25427447161093
Software Engineer AI,163063,63,33,63.15208511199481
Machine Learning Engineer,64721,29,66,92.48892962792917
Data Scientist,69317,56,83,66.25077789278443
Data Analyst,83287,70,39,85.27908371529696
NLP Engineer,124981,84,37,24.380576019534313
AI Engineer,163759,95,48,56.685448958817325
Machine Learning Engineer,81943,86,70,78.3994551603194
Data Scientist,69292,19,6,66.95624854796955
AI Engineer,98612,62,75,59.44771027953714
AI Engineer,74068,14,33,68.92257009061423
Machine Learning Engineer,91307,43,33,68.36445171197842
Research Scientist,144179,35,93,18.592493546066628
Data Analyst,28000,57,95,67.79316445096488
Data Analyst,43379,74,10,40.23498547436849
NLP Engineer,136930,64,46,97.0383835152437
Data Scientist,64187,24,4,25.892177129547743
Data Analyst,97185,100,38,51.45181431586579
Data Analyst,69296,57,84,42.88623989701828
Data Scientist,132000,83,73,53.83842522676708
NLP Engineer,82107,11,40,47.30677108253872
Data Scientist,79198,13,47,58.683200102406474
Machine Learning Engineer,86914,89,77,56.94769009431813
Research Scientist,73403,10,53,15.2024035058108
AI Engineer,98918,40,96,57.60072783287416
Computer Vision Engineer,161576,58,31,74.44047694242653
Data Analyst,91359,63,11,50.62135566955415
Computer Vision Engineer,85919,71,3,55.61177827146697
Data Scientist,84175,24,50,26.403215039897603
Research Scientist,104222,37,75,51.36862780959505
Research Scientist,76957,76,50,68.00287400992403
NLP Engineer,77877,53,21,49.57765568215523
Computer Vision Engineer,202717,80,9,75.50944938371916
Software Engineer AI,57914,80,60,35.75932763281779
AI Engineer,89075,63,45,30.35541432382905
Computer Vision Engineer,168389,33,56,68.02720715905149
